epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2924.57,0.99299,0.78029,0.01528,0.68045,0.62163,0.69802,0.47549,1.134,1.1618,0.02204,0.0005941,0.0005941,0.0005941
43,2969.27,0.95723,0.72548,0.01434,0.67529,0.6151,0.69538,0.45629,1.18075,1.10883,0.02323,0.0005842,0.0005842,0.0005842
44,3014.92,0.9361,0.72554,0.01449,0.6918,0.66251,0.74529,0.51474,1.12245,0.9984,0.02172,0.0005743,0.0005743,0.0005743
45,3060.18,0.94077,0.71782,0.01477,0.76278,0.6085,0.69052,0.46177,1.21865,1.09763,0.02439,0.0005644,0.0005644,0.0005644
46,3102.87,0.9545,0.74767,0.01534,0.75218,0.63242,0.7076,0.47953,1.12694,1.1265,0.02127,0.0005545,0.0005545,0.0005545
47,3148.18,0.94955,0.73466,0.01551,0.80815,0.65909,0.72757,0.4828,1.15515,1.05381,0.02278,0.0005446,0.0005446,0.0005446
48,3190.01,0.90707,0.68362,0.01401,0.7307,0.68817,0.74184,0.49499,1.19393,1.01585,0.02326,0.0005347,0.0005347,0.0005347
49,3237.12,0.95974,0.6841,0.01479,0.75601,0.74022,0.7541,0.50477,1.10327,1.0716,0.0208,0.0005248,0.0005248,0.0005248
50,3282.32,0.95175,0.68579,0.01505,0.78008,0.64792,0.76108,0.53411,1.05182,0.97396,0.01998,0.0005149,0.0005149,0.0005149
51,3326.2,0.90834,0.73336,0.01415,0.64798,0.68426,0.73657,0.51266,1.04982,0.99355,0.02055,0.000505,0.000505,0.000505
52,3370.19,0.89225,0.63455,0.01383,0.78345,0.6151,0.70912,0.51032,1.01027,1.08496,0.01919,0.0004951,0.0004951,0.0004951
53,3413.24,0.8802,0.65343,0.01368,0.86453,0.61865,0.75943,0.52322,1.06817,1.01133,0.02057,0.0004852,0.0004852,0.0004852
54,3456.57,0.88929,0.67998,0.01357,0.78364,0.68695,0.77697,0.50482,1.15559,0.9815,0.0227,0.0004753,0.0004753,0.0004753
55,3500.04,0.88879,0.67618,0.01392,0.72135,0.77228,0.78822,0.52355,1.0952,1.00152,0.02113,0.0004654,0.0004654,0.0004654
56,3542.69,0.85676,0.67273,0.01331,0.75541,0.75371,0.74315,0.49759,1.07953,1.00607,0.02088,0.0004555,0.0004555,0.0004555
57,3586.32,0.85087,0.61993,0.01262,0.74323,0.66049,0.7319,0.49776,1.05908,1.03323,0.01975,0.0004456,0.0004456,0.0004456
58,3627.81,0.87696,0.5675,0.01333,0.76717,0.69082,0.74304,0.48746,1.14453,1.07783,0.0219,0.0004357,0.0004357,0.0004357
59,3671.79,0.87297,0.55345,0.01316,0.64119,0.70894,0.72507,0.49393,1.12901,1.03023,0.02207,0.0004258,0.0004258,0.0004258
60,3715.82,0.85882,0.59188,0.01284,0.78422,0.74179,0.77034,0.52048,1.13319,0.97614,0.02208,0.0004159,0.0004159,0.0004159
61,3758.02,0.83752,0.60204,0.01239,0.68951,0.69362,0.71654,0.47698,1.09355,1.14263,0.02036,0.000406,0.000406,0.000406
62,3800.54,0.84481,0.56993,0.01254,0.82414,0.58578,0.73621,0.50946,1.11546,1.10282,0.02063,0.0003961,0.0003961,0.0003961
63,3843.45,0.81261,0.55381,0.01253,0.66128,0.73514,0.70025,0.50064,1.08957,1.0891,0.02019,0.0003862,0.0003862,0.0003862
64,3886.41,0.82095,0.54837,0.01262,0.65528,0.71733,0.69508,0.49044,1.03841,1.15496,0.0196,0.0003763,0.0003763,0.0003763
65,3955.38,0.81849,0.51394,0.01216,0.75497,0.62928,0.70532,0.48405,1.11926,1.11383,0.02128,0.0003664,0.0003664,0.0003664
66,4001.17,0.8092,0.50109,0.01233,0.84947,0.6633,0.76452,0.5029,1.11302,1.05963,0.02115,0.0003565,0.0003565,0.0003565
67,4045.14,0.81359,0.51732,0.0123,0.82569,0.63937,0.75348,0.50249,1.13239,1.07432,0.02138,0.0003466,0.0003466,0.0003466
68,4087.36,0.7748,0.50469,0.0117,0.73466,0.71188,0.77359,0.5174,1.09805,0.98251,0.02077,0.0003367,0.0003367,0.0003367
69,4134.93,0.80878,0.5086,0.01211,0.73291,0.74682,0.7699,0.50688,1.12364,0.95039,0.02131,0.0003268,0.0003268,0.0003268
70,4180.6,0.80594,0.46341,0.01254,0.79349,0.72214,0.77486,0.50095,1.16566,0.9267,0.02256,0.0003169,0.0003169,0.0003169
71,4225.88,0.78427,0.46539,0.01193,0.7201,0.76342,0.78277,0.52036,1.07467,0.94583,0.02046,0.000307,0.000307,0.000307
72,4273.85,0.78274,0.51131,0.01159,0.71441,0.75869,0.76202,0.49322,1.14864,1.02231,0.02158,0.0002971,0.0002971,0.0002971
73,4319.97,0.77311,0.48196,0.01124,0.71842,0.75538,0.7592,0.51085,1.10622,1.01337,0.02081,0.0002872,0.0002872,0.0002872
74,4368.97,0.76764,0.49598,0.01145,0.75992,0.74982,0.77933,0.52247,1.10195,1.00285,0.02061,0.0002773,0.0002773,0.0002773
75,4415.35,0.76955,0.43127,0.01111,0.7377,0.80072,0.77172,0.51575,1.13541,0.98908,0.0212,0.0002674,0.0002674,0.0002674
76,4462.7,0.75848,0.47933,0.01104,0.70207,0.79521,0.77912,0.53385,1.09168,1.01135,0.02059,0.0002575,0.0002575,0.0002575
