epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,0.5725483371500384,0.08785129800298078,0.05630958367055483,0.5487095851164597,0.10502390191132578,0.06989967142620285,0.0007997825680136305
2,0.5291359210223482,0.28754992247150657,0.187315679433053,0.512880992430907,0.3513058057198158,0.23308778324952492,0.0007645381364150714
3,0.48239349482352273,0.38115948517071574,0.2596680320668639,0.5104635059833527,0.34484225053053635,0.2352532773063733,0.0006964178967101753
4,0.4566470222514972,0.4204536292113756,0.29676389197508496,0.4576909083586473,0.4372111971561725,0.3264053693184486,0.0005888549622964224
5,0.43530669024116114,0.45629851180210446,0.33060215282858463,0.41633829932946426,0.5152028982455914,0.38110437530737656,0.0004611102901111302
6,0.4027539996201532,0.5156952665563215,0.38455674548943836,0.38530529691622806,0.5511402739928319,0.41448991803022533,0.00033167334793962123
7,0.39279835788827194,0.5164279618807006,0.39106841228510203,0.36709604928126705,0.5814123589258927,0.44533619513878453,0.00021008698840360902
8,0.3698925009944983,0.5548720631683082,0.4245338513140093,0.3450309049624663,0.6194773866580083,0.490566414136153,0.00010760909225167878
9,0.35562944098522786,0.57552538576879,0.44771718848169895,0.3271474219285525,0.6322867159660046,0.497026074391145,3.7314875638874555e-05
10,0.3375392859442192,0.5978705239923376,0.4695774112877093,0.31792302200427425,0.6409125740711505,0.5055840519758371,3.539371856945875e-06
11,0.32699998481231823,0.6061558864618602,0.4781189519062377,0.31745126041082233,0.6413593292236328,0.5065337855082291,0.0007979743611266567
12,0.40616189518518614,0.5150438285710519,0.3894525465735218,0.3671826422214508,0.592021644115448,0.4554443359375,0.000787573180101228
13,0.3897747752959268,0.5377974515421349,0.4093857329142721,0.33502757434661573,0.6285192370414734,0.49571187450335574,0.0007664285300585956
14,0.3746123896879062,0.54830724419209,0.42125777560367916,0.3360337408689352,0.6307053657678457,0.49089235067367554,0.0007367726217560485
15,0.3650612585377275,0.560033814426054,0.4336013950799641,0.3780924712236111,0.5903838139313918,0.44708332419395447,0.0007005680973142773
16,0.3535158686470567,0.5742386088036654,0.4458850329382378,0.30956339492247653,0.6526808509459863,0.5159368033592517,0.0006525949560057784
17,0.33801761138857456,0.5904000385811454,0.46569531267149405,0.28908862460118073,0.679538029890794,0.5553308862906235,0.0005995500855730914
18,0.3270544127414101,0.6097280874586942,0.4819585299282743,0.28534636073387587,0.6684070321229788,0.5415315650976621,0.0005435660307234558
19,0.3069286359506741,0.6258927662121622,0.5011931464337466,0.25963277656298417,0.7043837950779841,0.5747181337613326,0.0004812441233993752
20,0.2939336733859882,0.6478319262203417,0.5245511965793476,0.25424331426620483,0.6963264827544873,0.5735236956523015,0.00041954929337910895
21,0.28650160604401637,0.6523754377114145,0.5324712861002537,0.2814844497121297,0.6789407455004178,0.5581180178202115,0.00035797493734940187
22,0.27420728065465627,0.6627952723126662,0.5449846224826679,0.23752894481787315,0.7238590992414035,0.6040177391125605,0.00029363928869060305
23,0.2636234501474782,0.6798324893441117,0.5638712848487654,0.2567143319891049,0.7033085181162908,0.5826605764719156,0.0002359108099670008
24,0.26424085113563034,0.6763425856305841,0.5594262637590107,0.22741375863552094,0.7324834786928617,0.6123944704349225,0.00017946449873174186
